Timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol
19-06-2025 17.42,192.168.0.105,50199,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50199,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50199,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50199,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50199,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.42,192.168.0.105,60896,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,60896,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,60896,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,60896,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,192.168.0.105,60896,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,192.168.0.105,60896,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,60896,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,192.168.0.105,60896,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,192.168.0.105,59699,142.250.70.42,443,UDP
19-06-2025 17.42,192.168.0.105,60896,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,192.168.0.105,60896,142.251.42.3,443,UDP
19-06-2025 17.42,142.250.70.42,443,192.168.0.105,59699,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,60896,UDP
19-06-2025 17.42,192.168.0.102,5353,224.0.0.251,5353,UDP
19-06-2025 17.42,192.168.0.102,5353,224.0.0.251,5353,UDP
19-06-2025 17.42,192.168.0.102,41827,239.255.255.250,1900,UDP
19-06-2025 17.42,192.168.0.102,37621,239.255.255.250,1900,UDP
19-06-2025 17.42,192.168.0.102,35127,239.255.255.250,1900,UDP
19-06-2025 17.42,192.168.0.102,5353,224.0.0.251,5353,UDP
19-06-2025 17.42,192.168.0.102,5353,224.0.0.251,5353,UDP
19-06-2025 17.42,192.168.0.102,5353,224.0.0.251,5353,UDP
19-06-2025 17.42,142.250.70.42,443,192.168.0.105,59699,UDP
19-06-2025 17.42,192.168.0.105,59699,142.250.70.42,443,UDP
19-06-2025 17.42,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.42,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.102,5353,224.0.0.251,5353,UDP
19-06-2025 17.42,192.168.0.102,5353,224.0.0.251,5353,UDP
19-06-2025 17.42,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.42,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.42,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.42,192.168.0.102,5353,224.0.0.251,5353,UDP
19-06-2025 17.42,192.168.0.102,57317,239.255.255.250,1900,UDP
19-06-2025 17.42,192.168.0.105,50190,172.64.155.209,443,TCP
19-06-2025 17.42,172.64.155.209,443,192.168.0.105,50190,TCP
